1, 1, ,0000000326, , 8,21, 4,18,16, , , , , , , , ,
1, 1, 1,0000000326,0000000058, 8,21, 4,18,16, , , , , , , , ,
1, 1, ,0000000619, ,10,26, 4,18,16, , , , , , , , ,
1, 1, 1,0000000619,0000000009,10,26, 4,18,16, , , , , , , , ,
1, 1, ,0000000139, ,12,11, 4,18,16, , , , , , , , ,
1, 1, 2,0000000139,0000000000,12,11, 4,18,16, , , , , , , , ,
1, 1, ,0000000282, ,14,11, 4,18,16, , , , , , , , ,
1, 1, 2,0000000282,0000000000,14,11, 4,18,16, , , , , , , , ,
1, 1, ,0000000447, ,14,45, 4,18,16, , , , , , , , ,
1, 1, 1,0000000447,0000000031,14,45, 4,18,16, , , , , , , , ,
1, 1, ,0000002504, ,15,30, 4,18,16, , , , , , , , ,
1, 1, 2,0000002504,0000000000,15,30, 4,18,16, , , , , , , , ,
1, 1, ,0000000332, ,15,30, 4,18,16, , , , , , , , ,
1, 1, 2,0000000332,0000000000,15,30, 4,18,16, , , , , , , , ,
1, 1, ,0000000083, ,15,30, 4,18,16, , , , , , , , ,
1, 1, 2,0000000083,0000000000,15,30, 4,18,16, , , , , , , , ,
1, 1, ,0000000140, ,15,30, 4,18,16, , , , , , , , ,
1, 1, 2,0000000140,0000000000,15,30, 4,18,16, , , , , , , , ,
